date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:13:42	23163/23163	---M-Z	200	added ('OK')	image/svg+xml	etag:%225a7b-66c4cea9-28ef0474782e4be4;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/io.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/io.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:42	22877/22877	---M-Z	200	added ('OK')	image/svg+xml	etag:%22595d-66c4cea9-4618f0ffef1660aa;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/io.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/io.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:43	1466/1466	---M-Z	200	added ('OK')	image/svg+xml	etag:%225ba-66c4cea9-871291f12d93c04f;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/iq.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/iq.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:43	1471/1471	---M-Z	200	added ('OK')	image/svg+xml	etag:%225bf-66c4cea9-30baf46f82e0f501;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/iq.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/iq.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:43	15397/15397	---M-Z	200	added ('OK')	image/svg+xml	etag:%223c25-66c4cea9-2f923c9cb3cfe157;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/ir.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/ir.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:43	15311/15311	---M-Z	200	added ('OK')	image/svg+xml	etag:%223bcf-66c4cea9-3f7f1272b7f723e9;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/ir.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/ir.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:44	509/509	---M-Z	200	added ('OK')	image/svg+xml	etag:%221fd-66c4cea9-4485abe838c3209b;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/is.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/is.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:44	520/520	---M-Z	200	added ('OK')	image/svg+xml	etag:%22208-66c4cea9-d45fb0c17194ac12;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/is.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/is.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:44	289/289	---M--	200	added ('OK')	image/svg+xml	etag:%22121-66c4cea9-7629ece3a90fb2e;;;%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/it.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/it.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:45	289/289	---M--	200	added ('OK')	image/svg+xml	etag:%22121-66c4cea9-ab09c5907cda0837;;;%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/it.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/it.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:45	46069/46069	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b3f5-66c4cea9-bb771bb23186c79b;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/4x3/je.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/4x3/je.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
18:13:45	46767/46767	---M-Z	200	added ('OK')	image/svg+xml	etag:%22b6af-66c4cea9-8ee986e8f927fe52;gz%22	https://themecraze.net/html/alexis/assets/fonts/flags/1x1/je.svg	C:/My%20Web%20Sites/real/themecraze.net/html/alexis/assets/fonts/flags/1x1/je.svg	(from https://themecraze.net/html/alexis/assets/fonts/css/flag-icons.min.css)
